"All", "Wszystko"
"pageSize value must be greater than 0.", "Wartość pageSize musi być większa niż 0."
"Category image not found", "Nie znaleziono obrazu kategorii"
"Failed to retrieve product links for ""%1""", "Nie udało się pobrać linków do produktów dla ""%1"""
"""option_type_id"" value should be specified.", "Należy określić wartość ""option_type_id""."
"Product search has been disabled.", "Wyszukiwanie produktów zostało wyłączone."
"%1 type not defined in schema.", "Typ %1 niezdefiniowany w schemacie."
"Invalid match filter", "Nieprawidłowy filtr dopasowania"
"The requested qty exceeds the maximum qty allowed in shopping cart", "Żądana ilość przekracza maksymalną ilość dozwoloną w koszyku"
"You cannot use decimal quantity for this product.", "W przypadku tego produktu nie można użyć ilości dziesiętnej."
"Edit ", "Edytuj "
"The URL key should consist of lowercase characters with hyphens to separate words.", "Klucz adresu URL powinien składać się z małych liter z myślnikami oddzielającymi słowa."
"Invalid Item Quantity Requested.", "Żądana nieprawidłowa ilość pozycji."
"Could not store billing/shipping information at the moment but you can proceed with the checkout", "W tej chwili nie można zapisać informacji rozliczeniowych/wysyłkowych, ale możesz przejść do kasy"
"Some of the products are disabled.", "Niektóre produkty są wyłączone."
"""Page id/identifier should be specified", "Należy podać identyfikator/identyfikator strony"
"We cannot create the folder under the selected directory.", "Nie możemy utworzyć folderu w wybranym katalogu."
"We cannot delete the selected directory.", "Nie możemy usunąć wybranego katalogu."
"We can't delete the file right now.", "Nie możemy teraz usunąć pliku."
"We can't upload the file to the current folder right now. Please try another folder.", "Nie możemy teraz przesłać pliku do bieżącego folderu. Spróbuj użyć innego folderu."
"""uid"" value must be specified.", "Należy określić wartość ""uid""."
"""uid"" value must be specified", "Należy określić wartość ""uid"""
"""products"" value must be specified.", "Należy określić wartość ""products""."
"""uid"" value does not exist", "Wartość ""uid"" nie istnieje"
"Customer must be logged", "Klient musi być zalogowany"
"Something was wrong during assigning customer.", "Coś poszło nie tak podczas przypisywania klienta."
"Something was wrong during creating compare list", "Coś poszło nie tak podczas tworzenia listy porównania"
"Something was wrong during removing compare list", "Coś poszło nie tak podczas usuwania listy porównania"
"Something was wrong during removing products from compare list", "Coś poszło nie tak podczas usuwania produktów z listy porównania"
"Could not find specified product.", "Nie można znaleźć określonego produktu."
"The product with SKU %sku is out of stock.", "Produkt o SKU %sku jest niedostępny."
"configurableOptionValueUids values are incorrect", "Wartości configurableOptionValueUids są nieprawidłowe"
"""attribute_id"" value should be specified.", "Należy określić wartość ""attribute_id""."
"""value_index"" value should be specified.", "Należy określić wartość ""value_index""."
"Filter %1 doesn't implement %2", "Filtr %1 nie implementuje %2"
"The region_id does not match the selected country or region", "Region_id nie pasuje do wybranego kraju lub regionu"
"A region_id is required for the specified country code", "Identyfikator_regionu jest wymagany dla określonego kodu kraju"
"The specified region is not a part of the selected country or region", "Określony region nie jest częścią wybranego kraju lub regionu"
"""%1"" is not a valid gender value.", """%1"" nie jest prawidłową wartością płci."
"Email must be specified", "Adres e-mail musi być określony"
"Email is invalid", "E-mail jest nie prawidłowy"
"Store not found", "Nie znaleziono sklepu"
"You must specify an email address.", "Musisz podać adres e-mail."
"The email address has an invalid format.", "Adres e-mail ma nieprawidłowy format."
"Cannot reset the customer's password", "Nie można zresetować hasła klienta"
"resetPasswordToken must be specified", "resetPasswordToken musi być określony"
"newPassword must be specified", "newPassword musi być określone"
"Cannot set the customer's password", "Nie można ustawić hasła klienta"
"Address ""id"" value must be specified", "Adres ""id"" musi być określony"
"""input"" value must be specified", "Należy określić wartość ""input""."
"Provided customer ID ""%customer_id"" isn't related to current customer address.", "Podany identyfikator klienta ""%customer_id"" nie jest powiązany z bieżącym adresem klienta."
"Partial Match", "Częściowe dopasowanie"
"Prefix Match", "Dopasowanie prefiksu"
"Full Match", "Pełne dopasowanie"
"Could not delete customer group website with ID: %1", "Nie można usunąć witryny grupy klientów o identyfikatorze: %1"
"Could not save customer group website to exclude with ID: %1", "Nie można zapisać witryny grupy klientów do wykluczenia o identyfikatorze: %1"
"Could not save customer group website to exclude from customer group: ""%1""", "Nie można zapisać witryny grupy klientów do wykluczenia z grupy klientów: ""%1""."
"Could not retrieve excluded customer group websites by customer group: ""%1""", "Nie można pobrać witryn wykluczonych grup klientów według grupy klientów: ""%1""."
"Could not retrieve all excluded customer group websites.", "Nie można pobrać wszystkich wykluczonych witryn internetowych grup klientów."
"Could not delete customer group with its excluded websites.", "Nie można usunąć grupy klientów z wykluczonymi witrynami."
"Could not delete customer group excluded website by id.", "Nie można usunąć witryny wykluczonej z grupy klientów według identyfikatora."
"The session has expired, please login again.", "Sesja wygasła, zaloguj się ponownie."
"This website is excluded from customer's group.", "Ta strona jest wykluczona z grupy klientów."
"Currency not allowed for store %1", "Waluta niedozwolona dla sklepu %1"
"Requested store is not found", "Żądany sklep nie został znaleziony"
"Country ""id"" value should be specified", "Należy określić wartość ""id"" kraju"
"Wrong product type. Links are available for Downloadable and Virtual product types", "Niewłaściwy typ produktu. Łącza są dostępne dla typów produktów do pobrania i wirtualnych"
"""id"" value should be specified.", "Należy określić wartość ""id""."
"""id"" value should be specified", "Należy określić wartość ""id"""
"Mapper %1 should implement %2", "Program odwzorowujący %1 powinien zaimplementować %2"
"Unable to send mail. Please try again later.", "Nie można wysłać poczty. Spróbuj ponownie później."
"""model"" value must be specified", "Należy określić wartość ""model""."
"Can't load cart.", "Nie można załadować koszyka."
"Can't load cart item", "Nie można załadować elementu koszyka"
"Can't load gift message for order", "Nie można załadować wiadomości prezentowej dla zamówienia"
"Mutation requests allowed only for POST requests", "Żądania mutacji dozwolone tylko w przypadku żądań POST"
"ContextParametersProcessors must implement %1", "ContextParametersProcesory musi implementować %1"
"Failed to revoke customer's access tokens", "Nie udało się odwołać tokenów dostępu klienta"
"Source item Validator must implement SourceItemValidatorInterface.", "Walidator elementu źródłowego musi implementować interfejs SourceItemValidator."
"Source Validator must implement SourceValidatorInterface.", "SourceValidator musi zaimplementować SourceValidatorInterface."
"Validator must implement StockSourceLinkValidatorInterface.", "Walidator musi zaimplementować StockSourceLinkValidatorInterface."
"Stock Validator must implement StockValidatorInterface.", "StockValidator musi zaimplementować StockValidatorInterface."
"Not able to assign ""%1"" to product ""%2"", as it is part of bundle product <a href=""%3"">""%4""</a> with shipment type ""Ship Together"" and has multiple sources or different source as other bundle selections.", "Nie można przypisać ""%1"" do produktu ""%2"", ponieważ jest on częścią pakietu produktu <a href=""%3"">""%4""</a> z typem przesyłki ""Wysyłka razem"" i ma wiele źródeł lub inne źródło, jak inne wybrane pakiety."
"Product ""%1"" cannot be added to bundle product as bundle product has ""Ship Bundle Items Together"" and ""%1"" product assigned to multiple sources or has different source then rest of bundle items", "Produktu ""%1"" nie można dodać do produktu w pakiecie, ponieważ produkt w pakiecie ma przypisane produkty ""Wysyłaj razem elementy w pakiecie"" i ""%1"" lub ma inne źródło niż pozostałe elementy w pakiecie"
"Source Validator must implement BulkInventoryTransferValidatorInterface.", "Walidator źródła musi zaimplementować interfejs BulkInventoryTransferValidator."
"Source Validator must implement AssignValidatorInterface.", "Walidator źródła musi zaimplementować interfejs AssignValidator."
"Source Validator must implement MassUnassignValidatorInterface.", "Walidator źródła musi zaimplementować interfejs MassUnassignValidatorInterface."
"Source Validator must implement PartialInventoryTransferValidatorInterface.", "Walidator źródła musi zaimplementować interfejs PartialInventoryTransferValidator."
"Validation Error: Select different sources for origin and destination.", "Błąd sprawdzania poprawności: Wybierz różne źródła pochodzenia i miejsca docelowego."
"Transfer validation failed", "Weryfikacja transferu nie powiodła się"
"Validation Failed", "Weryfikacja nie powiodła się"
"Following products with requested skus were not found: %1", "Nie znaleziono następujących produktów o żądanym SKU: %1"
"Following products with requested ids were not found: %1", "Nie znaleziono następujących produktów o żądanych identyfikatorach: %1"
"Source %sourceCode does not exist", "Kod źródłowy %sourceCode nie istnieje"
"Origin source %sourceCode does not exist", "Źródło pochodzenia %sourceCode nie istnieje"
"Destination source %sourceCode does not exist", "Źródło docelowe %sourceCode nie istnieje"
"Cannot transfer a source on itself", "Nie można przenieść źródła na siebie"
"Default source can not be disabled.", "Nie można wyłączyć domyślnego źródła."
"Requested transfer amount for sku %sku is not available", "Żądana kwota przelewu dla sku %sku jest niedostępna"
"%message", "%message"
"Source item for %sku and %sourceCode does not exist", "Pozycja źródłowa dla %sku i %sourceCode nie istnieje"
"Wrong Product to Source relation parameters given.", "Podano nieprawidłowe parametry relacji produktu do źródła."
"Can not save link related to Default Source or Default Stock", "Nie można zapisać łącza związanego z domyślnym źródłem lub domyślnym magazynem"
"Website code is empty", "Kod strony jest pusty"
"Default Stock could not be deleted.", "Nie można usunąć zapasu domyślnego."
"Can not delete link related to Default Source or Default Stock", "Nie można usunąć łącza związanego z domyślnym źródłem lub domyślnym magazynem"
"The requested sku is not assigned to given stock.", "Żądana jednostka SKU nie jest przypisana do danego towaru."
"No such distance provider: %1", "Brak takiego dostawcy odległości: %1"
"No such latitude and longitude from address provider: %1", "Brak takiej szerokości i długości geograficznej od dostawcy adresu: %1"
"No destination address was provided in the request", "W żądaniu nie podano adresu docelowego"
"Google API key is not defined", "Klucz Google API nie jest zdefiniowany"
"Unable to connect google API for distance matrix", "Nie można połączyć interfejsu API Google dla macierzy odległości"
"Unable to get distance between %1 and %2", "Nie można uzyskać odległości między %1 a %2"
"Unable to connect google API for geocoding", "Nie można połączyć interfejsu Google API do geokodowania"
"Unable to geocode address %1", "Nie można geokodować adresu %1"
"Unknown geoname for %1", "Nieznana nazwa geograficzna dla %1"
"Something went wrong while updating the product(s) stock status.", "Coś poszło nie tak podczas aktualizowania stanu magazynowego produktów."
"We'll email you an order and pick-up confirmation with details.", "Wyślemy Ci e-mailem potwierdzenie zamówienia i odbioru ze szczegółami."
"Region or city or postcode must be specified for the filter by distance.", "Aby filtrować według odległości, należy określić region, miasto lub kod pocztowy."
"PickupLocation type not defined in schema.", "Typ PickupLocation nie jest zdefiniowany w schemacie."
"In-Store Pickup is not available with multiple address checkout.", "Odbiór w sklepie nie jest dostępny w przypadku płatności pod wieloma adresami."
"Quote does not have Pickup Location assigned.", "Oferta nie ma przypisanego miejsca odbioru."
"Pickup Location Address does not match Shipping Address for In-Store Pickup Quote.", "Adres lokalizacji odbioru nie zgadza się z adresem wysyłki dla oferty odbioru osobistego w sklepie."
"Order notified for pickup at: %1", "Zamówienie zgłoszone do odbioru o: %1"
"The order is not ready for pickup", "Zamówienie nie jest gotowe do odbioru"
"Not able to create shipment with 'In Store Pick-Up' delivery method. Order should be notified as 'Ready For Pick-Up' instead.", "Nie można utworzyć przesyłki z metodą dostawy 'Odbiór w sklepie'. Zamiast tego zamówienie powinno być zgłoszone jako 'Gotowe do odbioru'."
"No Pickup Locations available to satisfy the Rate Request.", "Brak dostępnych miejsc odbioru, aby spełnić żądanie stawki."
"Can not resolve Sales Channel for Website with id %1.", "Nie można rozpoznać kanału sprzedaży dla witryny o identyfikatorze %1."
"Can not find Pickup Location with code %1 for %2 Sales Channel ""%3"".", "Nie można znaleźć lokalizacji odbioru z kodem %1 dla kanału sprzedaży %2 ""%3""."
"""%field"" can not be empty for Pickup Location.", """%field"" nie może być puste dla miejsca odbioru."
